"arquivo_climatico","uf","municipio","populacao","zbb","tbsm","hdd18","cdd10","cdd24"
"BRA_MG_Governador.Valadares.835430_INMET","MG","Governador Valadares",278363,5,24.03278539,0,5122,374.2
"BRA_MG_Guarda-Mor.867570_INMET","MG","Guarda-Mor",6738,2,21.13195205,26.2,4063.2,10.7
"BRA_MG_Ibirite.868210_INMET","MG","Ibirite",173873,2,19.95296804,76.6,3632.8,0.5
"BRA_MG_Itaobim.867420_INMET","MG","Itaobim",21564,5,25.21686073,0,5554.2,616.8
"BRA_MG_Ituiutaba.867750_INMET","MG","Ituiutaba",103333,6,23.26393836,3.8,4841.3,207.7
"BRA_MG_Joao.Pinheiro.AP.867580_INMET","MG","Joao Pinheiro",48179,6,22.44853881,7.4,4543.7,91.3
"BRA_MG_Juiz.de.Fora.836920_INMET","MG","Juiz de Fora",555284,3,18.59695205,306.2,3137.9,1.8
"BRA_MG_Mantena.867840_INMET","MG","Mantena",28061,5,24.25599315,0,5203.4,433
"BRA_MG_Maria.da.Fe.830150_INMET","MG","Maria da Fe",14518,2,16.25302511,777.3,2285.3,0
"BRA_MG_Mocambinho.867200_INMET","MG","Muzambinho",20432,3,24.8360274,0,5415.2,481.5
"BRA_MG_Montalvania.866930_INMET","MG","Montalvania",15779,6,23.72989726,0,5011.4,265.6
"BRA_MG_Monte.Verde.AP.868700_INMET","MG","Camanducaia",21080,1,15.27776256,1045.7,1940,0
"BRA_MG_Montes.Claros.867400_INMET","MG","Montes Claros",394350,6,23.66982877,0,4989.5,279.2
"BRA_MG_Muriae.868520_INMET","MG","Muriae",107263,3,23.24676941,4.2,4835.1,276.6
"BRA_MG_Ouro.Branco.868230_INMET","MG","Ouro Branco",38249,3,19.67384703,142.1,3531,0.8
"BRA_MG_Passa.Quatro.837370_INMET","MG","Passa Quatro",16353,2,18.2877968,360,3025,0
"BRA_MG_Passos.868190_INMET","MG","Passos",113122,4,20.67110731,78.5,3895,25.1
"BRA_MG_Patrocinio.867780_INMET","MG","Patrocinio",88648,4,20.32144977,67.7,3767.3,20
"BRA_MG_Pirapora.AP.867590_INMET","MG","Pirapora",56229,4,23.72343607,0.8,5009.1,267.2
"BRA_MG_Rio.Pardo.de.Minas.867210_INMET","MG","Rio Pardo de Minas",30732,5,21.57821918,12.1,4226.1,30.8
