ghr,hvac,lights,boundaries,envelope,shgc,building,afn,total_hvac_light_cons
3495,split,9.9,outdoors,3.7,0.3,180,sem,39578.02
3495,split,9.9,outdoors,3.7,0.3,270,com,39358.25
3495,split,9.9,outdoors,3.7,0.3,270,sem,39346.49
3495,split,9.9,outdoors,3.7,0.7,0,com,39487.82
3495,split,9.9,outdoors,3.7,0.7,0,sem,39806.68
3495,split,9.9,outdoors,3.7,0.7,90,com,39623.14
3495,split,9.9,outdoors,3.7,0.7,90,sem,40069.49
3495,split,9.9,adiabatic,2.5,0.3,180,sem,42740.81
3495,split,9.9,outdoors,3.7,0.7,180,com,39894.32
3495,split,9.9,outdoors,3.7,0.7,180,sem,41146.98
3495,split,9.9,outdoors,3.7,0.7,270,com,40052.54
3495,split,9.9,outdoors,3.7,0.7,270,sem,40717.29
3495,split,23.6,adiabatic,2.5,0.3,0,com,70828.57
3495,split,23.6,adiabatic,2.5,0.3,0,sem,70526.81
3495,split,23.6,adiabatic,2.5,0.3,90,com,70139.38
3495,split,23.6,adiabatic,2.5,0.3,90,sem,69691.57
3495,split,23.6,adiabatic,2.5,0.3,180,com,70506.49
3495,split,23.6,adiabatic,2.5,0.3,180,sem,70423
3495,split,9.9,adiabatic,2.5,0.3,270,com,44984.41
3495,split,23.6,adiabatic,2.5,0.3,270,com,70277.79
3495,split,23.6,adiabatic,2.5,0.3,270,sem,70311.4
3495,split,23.6,adiabatic,2.5,0.7,0,com,70919.33
3495,split,23.6,adiabatic,2.5,0.7,0,sem,70991.95
3495,split,23.6,adiabatic,2.5,0.7,90,com,70019.13
3495,split,23.6,adiabatic,2.5,0.7,90,sem,69946.97
3495,split,23.6,adiabatic,2.5,0.7,180,com,70849.71
3495,split,23.6,adiabatic,2.5,0.7,180,sem,71414.76
3495,split,23.6,adiabatic,2.5,0.7,270,com,70519.99
3495,split,23.6,adiabatic,2.5,0.7,270,sem,70922.96
3495,split,9.9,adiabatic,2.5,0.3,270,sem,42590.76
3495,split,23.6,adiabatic,3.7,0.3,0,com,67692.8
3495,split,23.6,adiabatic,3.7,0.3,0,sem,67629.17
3495,split,23.6,adiabatic,3.7,0.3,90,com,67342.35
3495,split,23.6,adiabatic,3.7,0.3,90,sem,67212.18
3495,split,23.6,adiabatic,3.7,0.3,180,com,67573.48
3495,split,23.6,adiabatic,3.7,0.3,180,sem,67870.14
3495,split,23.6,adiabatic,3.7,0.3,270,com,67537.48
3495,split,23.6,adiabatic,3.7,0.3,270,sem,67696.28
3495,split,23.6,adiabatic,3.7,0.7,0,com,67910.52
3495,split,23.6,adiabatic,3.7,0.7,0,sem,68231.74
3495,split,9.9,adiabatic,2.5,0.7,0,com,45585.63
3495,split,23.6,adiabatic,3.7,0.7,90,com,67537.31
3495,split,23.6,adiabatic,3.7,0.7,90,sem,67761.02
3495,split,23.6,adiabatic,3.7,0.7,180,com,68020.7
3495,split,23.6,adiabatic,3.7,0.7,180,sem,68891.48
3495,split,23.6,adiabatic,3.7,0.7,270,com,67893.24
3495,split,23.6,adiabatic,3.7,0.7,270,sem,68354.11
3495,split,23.6,outdoors,2.5,0.3,0,com,67001.96
3495,split,23.6,outdoors,2.5,0.3,0,sem,69168.73
3495,split,23.6,outdoors,2.5,0.3,90,com,67183.24
3495,split,23.6,outdoors,2.5,0.3,90,sem,69233.15
3495,split,9.9,adiabatic,2.5,0.7,0,sem,43371.57
14172,vrf,9.9,adiabatic,2.5,0.3,0,com,33625.96
14172,vrf,23.6,outdoors,2.5,0.3,180,com,62904.3
14172,vrf,23.6,outdoors,2.5,0.3,180,sem,64070.38
14172,vrf,23.6,outdoors,2.5,0.3,270,com,62774.69
14172,vrf,23.6,outdoors,2.5,0.3,270,sem,63967.48
14172,vrf,23.6,outdoors,2.5,0.7,0,com,62883.22
14172,vrf,23.6,outdoors,2.5,0.7,0,sem,64038.27
14172,vrf,23.6,outdoors,2.5,0.7,90,com,63211.24
14172,vrf,23.6,outdoors,2.5,0.7,90,sem,64340.69
14172,vrf,23.6,outdoors,2.5,0.7,180,com,63651.68
14172,vrf,23.6,outdoors,2.5,0.7,180,sem,64706.59
14172,vrf,9.9,adiabatic,2.5,0.7,90,com,34030.08
14172,vrf,23.6,outdoors,2.5,0.7,270,com,63449.26
14172,vrf,23.6,outdoors,2.5,0.7,270,sem,64588.7
14172,vrf,23.6,outdoors,3.7,0.3,0,com,62520.48
14172,vrf,23.6,outdoors,3.7,0.3,0,sem,63706.65
14172,vrf,23.6,outdoors,3.7,0.3,90,com,62697.35
14172,vrf,23.6,outdoors,3.7,0.3,90,sem,63858.62
14172,vrf,23.6,outdoors,3.7,0.3,180,com,62949.18
14172,vrf,23.6,outdoors,3.7,0.3,180,sem,64094.72
14172,vrf,23.6,outdoors,3.7,0.3,270,com,62851.68
14172,vrf,23.6,outdoors,3.7,0.3,270,sem,64032.56
14172,vrf,9.9,adiabatic,2.5,0.7,90,sem,34614.19
14172,vrf,23.6,outdoors,3.7,0.7,0,com,63045.95
14172,vrf,23.6,outdoors,3.7,0.7,0,sem,64183.66
14172,vrf,23.6,outdoors,3.7,0.7,90,com,63330.56
14172,vrf,23.6,outdoors,3.7,0.7,90,sem,64437.52
14172,vrf,23.6,outdoors,3.7,0.7,180,com,63708.56
14172,vrf,23.6,outdoors,3.7,0.7,180,sem,64755.17
14172,vrf,23.6,outdoors,3.7,0.7,270,com,63547.24
14172,vrf,23.6,outdoors,3.7,0.7,270,sem,64675.43
14172,vrf,9.9,adiabatic,2.5,0.7,180,com,34186.63
14172,vrf,9.9,adiabatic,2.5,0.7,180,sem,34819.92
14172,vrf,9.9,adiabatic,2.5,0.7,270,com,34041.39
14172,vrf,9.9,adiabatic,2.5,0.7,270,sem,34680.75
14172,vrf,9.9,adiabatic,3.7,0.3,0,com,32013.6
14172,vrf,9.9,adiabatic,3.7,0.3,0,sem,32668.91
14172,vrf,9.9,adiabatic,3.7,0.3,90,com,32101.46
14172,vrf,9.9,adiabatic,3.7,0.3,90,sem,32782.83
14172,vrf,9.9,adiabatic,2.5,0.3,0,sem,34138.59
14172,vrf,9.9,adiabatic,3.7,0.3,180,com,32213.61
14172,vrf,9.9,adiabatic,3.7,0.3,180,sem,32944.93
14172,vrf,9.9,adiabatic,3.7,0.3,270,com,32151.88
14172,vrf,9.9,adiabatic,3.7,0.3,270,sem,32857.14
14172,vrf,9.9,adiabatic,3.7,0.7,0,com,32379.07
14172,vrf,9.9,adiabatic,3.7,0.7,0,sem,33150.14
14172,vrf,9.9,adiabatic,3.7,0.7,90,com,32578.08
14172,vrf,9.9,adiabatic,3.7,0.7,90,sem,33378.96
