"case","seed","epw","afn","area","atm","azimuth","boundaries","cdh","envelope","hvac","lights","shgc"
"afn_max_area_104_atm_5_azi_273.68_bounds_outdoors_cdh_90_env_heavy_hvac_vrf_lights_11.24_shgc_0.55","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RN_Natal.818390_INMET","max",737.9,5,273.68,"outdoors",69706,"heavy","vrf",11.24,0.55
"afn_max_area_104_atm_7_azi_108.24_bounds_outdoors_cdh_90_env_heavy_hvac_vrf_lights_11.24_shgc_0.55","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RN_Natal.818390_INMET","max",737.9,7,108.24,"outdoors",69706,"heavy","vrf",11.24,0.55
"afn_max_area_104_atm_7_azi_273.68_bounds_outdoors_cdh_94_env_heavy_hvac_vrf_lights_11.24_shgc_0.55","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RS_Chui.869980_INMET","max",737.9,7,273.68,"outdoors",17946,"heavy","vrf",11.24,0.55
"afn_max_area_104_atm_7_azi_273.68_bounds_outdoors_cdh_90_env_heavy_hvac_vrf_lights_15.14_shgc_0.55","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RN_Natal.818390_INMET","max",737.9,7,273.68,"outdoors",69706,"heavy","vrf",15.14,0.55
"afn_max_area_104_atm_7_azi_273.68_bounds_outdoors_cdh_90_env_heavy_hvac_vrf_lights_11.24_shgc_0.6","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RN_Natal.818390_INMET","max",737.9,7,273.68,"outdoors",69706,"heavy","vrf",11.24,0.6
"afn_max_area_774_atm_12_azi_289.24_bounds_outdoors_cdh_34_env_heavy_hvac_vrf_lights_22.64_shgc_0.35","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MG_Buritis.867180_INMET","max",285,12,289.24,"outdoors",29737,"heavy","vrf",22.64,0.35
"afn_max_area_502_atm_12_azi_289.24_bounds_outdoors_cdh_34_env_heavy_hvac_vrf_lights_22.64_shgc_0.35","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MG_Buritis.867180_INMET","max",580,12,289.24,"outdoors",29737,"heavy","vrf",22.64,0.35
"afn_max_area_774_atm_14_azi_289.24_bounds_outdoors_cdh_34_env_heavy_hvac_vrf_lights_22.64_shgc_0.35","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MG_Buritis.867180_INMET","max",285,14,289.24,"outdoors",29737,"heavy","vrf",22.64,0.35
"afn_max_area_774_atm_12_azi_92.68_bounds_outdoors_cdh_34_env_heavy_hvac_vrf_lights_22.64_shgc_0.35","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MG_Buritis.867180_INMET","max",285,12,92.68,"outdoors",29737,"heavy","vrf",22.64,0.35
"afn_max_area_774_atm_12_azi_289.24_bounds_outdoors_cdh_30_env_heavy_hvac_vrf_lights_22.64_shgc_0.35","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MA_Chapadinha.817490_INMET","max",285,12,289.24,"outdoors",69955,"heavy","vrf",22.64,0.35
"afn_max_area_774_atm_12_azi_289.24_bounds_outdoors_cdh_34_env_heavy_hvac_vrf_lights_18.74_shgc_0.35","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MG_Buritis.867180_INMET","max",285,12,289.24,"outdoors",29737,"heavy","vrf",18.74,0.35
"afn_max_area_774_atm_12_azi_289.24_bounds_outdoors_cdh_34_env_heavy_hvac_vrf_lights_22.64_shgc_0.3","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MG_Buritis.867180_INMET","max",285,12,289.24,"outdoors",29737,"heavy","vrf",22.64,0.3
"afn_max_area_502_atm_14_azi_92.68_bounds_outdoors_cdh_30_env_heavy_hvac_vrf_lights_18.74_shgc_0.3","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MA_Chapadinha.817490_INMET","max",580,14,92.68,"outdoors",69955,"heavy","vrf",18.74,0.3
"afn_max_area_774_atm_14_azi_92.68_bounds_outdoors_cdh_30_env_heavy_hvac_vrf_lights_18.74_shgc_0.3","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MA_Chapadinha.817490_INMET","max",285,14,92.68,"outdoors",69955,"heavy","vrf",18.74,0.3
"afn_max_area_502_atm_12_azi_92.68_bounds_outdoors_cdh_30_env_heavy_hvac_vrf_lights_18.74_shgc_0.3","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MA_Chapadinha.817490_INMET","max",580,12,92.68,"outdoors",69955,"heavy","vrf",18.74,0.3
"afn_max_area_502_atm_14_azi_289.24_bounds_outdoors_cdh_30_env_heavy_hvac_vrf_lights_18.74_shgc_0.3","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MA_Chapadinha.817490_INMET","max",580,14,289.24,"outdoors",69955,"heavy","vrf",18.74,0.3
"afn_max_area_502_atm_14_azi_92.68_bounds_outdoors_cdh_34_env_heavy_hvac_vrf_lights_18.74_shgc_0.3","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MG_Buritis.867180_INMET","max",580,14,92.68,"outdoors",29737,"heavy","vrf",18.74,0.3
