hvac,envelope,lights,shgc,afn,azimuth,boundaries,ghr,tbs,tbu,targ
split,3.7,9.9,0.3,min,270,outdoors,3495,15.31,11.66,70.3482666666667
split,3.7,9.9,0.7,max,0,outdoors,3495,15.31,11.66,70.5838166666667
split,3.7,9.9,0.7,min,0,outdoors,3495,15.31,11.66,71.11525
split,3.7,9.9,0.7,max,90,outdoors,3495,15.31,11.66,70.80935
split,3.7,9.9,0.7,min,90,outdoors,3495,15.31,11.66,71.5532666666667
split,2.5,9.9,0.3,min,180,adiabatic,3495,15.31,11.66,76.0054666666667
split,3.7,9.9,0.7,max,180,outdoors,3495,15.31,11.66,71.2613166666667
split,3.7,9.9,0.7,min,180,outdoors,3495,15.31,11.66,73.3490833333334
split,3.7,9.9,0.7,max,270,outdoors,3495,15.31,11.66,71.5250166666667
split,3.7,9.9,0.7,min,270,outdoors,3495,15.31,11.66,72.6329333333334
split,2.5,23.6,0.3,max,0,adiabatic,3495,15.31,11.66,122.8184
split,2.5,23.6,0.3,min,0,adiabatic,3495,15.31,11.66,122.315466666667
split,2.5,23.6,0.3,max,90,adiabatic,3495,15.31,11.66,121.66975
split,2.5,23.6,0.3,min,90,adiabatic,3495,15.31,11.66,120.9234
split,2.5,23.6,0.3,max,180,adiabatic,3495,15.31,11.66,122.2816
split,2.5,23.6,0.3,min,180,adiabatic,3495,15.31,11.66,122.14245
split,2.5,9.9,0.3,max,270,adiabatic,3495,15.31,11.66,79.7448
split,2.5,23.6,0.3,max,270,adiabatic,3495,15.31,11.66,121.900433333333
split,2.5,23.6,0.3,min,270,adiabatic,3495,15.31,11.66,121.95645
split,2.5,23.6,0.7,max,0,adiabatic,3495,15.31,11.66,122.969666666667
split,2.5,23.6,0.7,min,0,adiabatic,3495,15.31,11.66,123.0907
split,2.5,23.6,0.7,max,90,adiabatic,3495,15.31,11.66,121.469333333333
split,2.5,23.6,0.7,min,90,adiabatic,3495,15.31,11.66,121.349066666667
split,2.5,23.6,0.7,max,180,adiabatic,3495,15.31,11.66,122.853633333333
split,2.5,23.6,0.7,min,180,adiabatic,3495,15.31,11.66,123.795383333333
split,2.5,23.6,0.7,max,270,adiabatic,3495,15.31,11.66,122.3041
split,2.5,23.6,0.7,min,270,adiabatic,3495,15.31,11.66,122.975716666667
split,2.5,9.9,0.3,min,270,adiabatic,3495,15.31,11.66,75.7553833333333
split,3.7,23.6,0.3,max,0,adiabatic,3495,15.31,11.66,117.592116666667
split,3.7,23.6,0.3,min,0,adiabatic,3495,15.31,11.66,117.486066666667
split,3.7,23.6,0.3,max,90,adiabatic,3495,15.31,11.66,117.008033333333
split,3.7,23.6,0.3,min,90,adiabatic,3495,15.31,11.66,116.791083333333
split,3.7,23.6,0.3,max,180,adiabatic,3495,15.31,11.66,117.39325
