"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"h_split_e_3.7_l_16.66_s_0.61_v_min_a_112.85_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,16.658203125,0.608203125,"min",112.8515625,"adiabatic",3495,43.5723750781349
"h_split_e_3.7_l_16.66_s_0.61_v_min_a_91.76_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,16.658203125,0.608203125,"min",91.7578125,"adiabatic",3495,43.1862087411746
"h_split_e_3.7_l_17.26_s_0.57_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,17.259765625,0.570703125,"min",326.6015625,"adiabatic",3495,43.5726303296889
"h_split_e_3.7_l_17.53_s_0.35_v_max_a_294.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,17.533203125,0.346484375,"max",294.2578125,"adiabatic",3495,40.2544957762659
"h_split_e_3.7_l_17.53_s_0.35_v_min_a_294.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,17.533203125,0.346484375,"min",294.2578125,"adiabatic",3495,42.8220904554734
"h_split_e_3.7_l_17.53_s_0.35_v_min_a_45.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,17.533203125,0.346484375,"min",45.3515625,"adiabatic",3495,41.9071796546324
"h_split_e_3.7_l_17.53_s_0.43_v_max_a_45.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,17.533203125,0.433203125,"max",45.3515625,"adiabatic",3495,39.7404890823926
"h_split_e_3.7_l_17.53_s_0.43_v_min_a_294.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,17.533203125,0.433203125,"min",294.2578125,"adiabatic",3495,43.248702425401
"h_split_e_3.7_l_17.7_s_0.4_v_max_a_339.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,17.697265625,0.396484375,"max",339.2578125,"outdoors",3495,39.9099514493857
"h_split_e_3.7_l_17.7_s_0.68_v_min_a_270.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,17.697265625,0.683203125,"min",270.3515625,"adiabatic",3495,45.4493569245138
"h_split_e_3.7_l_17.97_s_0.53_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,17.970703125,0.533984375,"max",238.0078125,"outdoors",3495,41.7383702139932
"h_split_e_3.7_l_19.28_s_0.38_v_max_a_69.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,19.283203125,0.383203125,"max",69.2578125,"adiabatic",3495,40.2182338757487
