"hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"split",2.5,17.970703125,0.370703125,"max",238.0078125,"outdoors",14172,51.3153649232228
"split",2.5,17.970703125,0.533984375,"max",146.6015625,"outdoors",14172,51.5416551883478
"split",2.5,17.970703125,0.533984375,"max",238.0078125,"outdoors",14172,52.4174941111971
"split",2.5,18.408203125,0.658203125,"min",67.8515625,"outdoors",14172,52.4115209781811
"split",2.5,18.408203125,0.671484375,"min",316.7578125,"adiabatic",14172,53.5227472706935
"split",2.5,19.283203125,0.496484375,"max",69.2578125,"adiabatic",14172,50.673551150457
"split",2.5,19.447265625,0.446484375,"max",135.3515625,"outdoors",14172,51.5271946235413
"split",2.5,19.447265625,0.533203125,"max",135.3515625,"outdoors",14172,52.1248555354751
"split",2.5,19.447265625,0.533203125,"max",24.2578125,"outdoors",14172,50.7880549967467
"split",2.5,19.447265625,0.533203125,"min",135.3515625,"outdoors",14172,53.8733700521266
"split",2.5,19.720703125,0.420703125,"min",103.0078125,"outdoors",14172,52.6166355168151
"split",2.5,19.720703125,0.420703125,"min",281.6015625,"adiabatic",14172,53.5647813916415
"split",2.5,19.720703125,0.683984375,"min",103.0078125,"adiabatic",14172,53.9709626364436
"split",2.5,19.720703125,0.683984375,"min",103.0078125,"outdoors",14172,53.9709626364436
"split",2.5,19.720703125,0.683984375,"min",281.6015625,"outdoors",14172,55.0278659259486
"split",2.5,20.759765625,0.633984375,"max",148.0078125,"adiabatic",14172,53.73782699726
"split",2.5,20.759765625,0.670703125,"max",56.6015625,"adiabatic",14172,52.1142648122704
"split",2.5,21.033203125,0.446484375,"min",24.2578125,"outdoors",14172,53.10385493019
"split",2.5,21.033203125,0.533203125,"max",135.3515625,"outdoors",14172,53.0096100360112
"split",2.5,21.197265625,0.583203125,"max",0.3515625,"adiabatic",14172,52.2341228836745
"split",2.5,21.470703125,0.633984375,"max",148.0078125,"adiabatic",14172,54.1474450885734
