"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries"
"h_split_e_3.7_l_22.78_s_0.4_v_max_a_339.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",22.783203125,0.396484375,"max",339.2578125,"outdoors"
"h_split_e_3.7_l_17.7_s_0.4_v_max_a_339.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",17.697265625,0.396484375,"max",339.2578125,"outdoors"
"h_split_e_3.7_l_22.78_s_0.68_v_max_a_339.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",22.783203125,0.683203125,"max",339.2578125,"outdoors"
"h_split_e_3.7_l_22.78_s_0.4_v_min_a_339.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",22.783203125,0.396484375,"min",339.2578125,"outdoors"
"h_split_e_3.7_l_22.78_s_0.4_v_max_a_270.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",22.783203125,0.396484375,"max",270.3515625,"outdoors"
"h_split_e_3.7_l_22.78_s_0.4_v_max_a_339.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",22.783203125,0.396484375,"max",339.2578125,"adiabatic"
"h_vrf_e_2.5_l_14.2_s_0.38_v_min_a_180.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",14.197265625,0.383203125,"min",180.3515625,"outdoors"
"h_split_e_2.5_l_14.2_s_0.38_v_min_a_180.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",14.197265625,0.383203125,"min",180.3515625,"outdoors"
"h_vrf_e_3.7_l_14.2_s_0.38_v_min_a_180.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",14.197265625,0.383203125,"min",180.3515625,"outdoors"
"h_vrf_e_2.5_l_19.28_s_0.38_v_min_a_180.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",19.283203125,0.383203125,"min",180.3515625,"outdoors"
